Прайс на дату: 10.03.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
ЖОРИК ОБЖОРИК;;;;;;
ВИСІВКОВЕ затяж. печиво 3,8кг/ Жор. Обж (82);кг;3.8;39.49;150.07;38.00;10.00
Всесвіт з цукром печив 3,5кг/Жор. Обж (177);кг;3.5;40.82;142.87; ; 
ДОБРИЙ ВЕЧІР цукр.з нач. печ.4,0кг/Жор. Обж(53);кг;4;46.69;186.75;28.00;7.00
ДОБРИЙ РАНОК цукр.з нач.гл печ.1,6кг/Жор. Обж(78);кг;1.6;64.67;103.48;11.20;7.00
ДОБРИЙ РАНОК цукр.з начин. печ.4,0кг/ЖорОбж(52);кг;4;46.69;186.75;40.00;10.00
Зоосвіт затяж. печиво 2,0кг /Жор. Обж.(83);кг;2;41.86;83.72; ; 
Зустріч з ар. пряж мол.цукр.печив3,5кг/ЖорОбж(12т);кг;3.5;35.26;123.41;63.00;18.00
Малібу цукров. печиво 3,0кг/Жор. Обж.(26);кг;3;38.46;115.39; ; 
Марго затяж. з начин. печиво 2,2кг/Жор. Обж.(99);кг;2.2;53.98;118.75;13.20;6.00
Марго затяж. печиво 3,0кг/Жор. Обж.(151);кг;3;71.21;213.62; ; 
Марія затяж. печиво 3,5кг/Жор. Обж.(90);кг;3.5;39.31;137.60; ; 
Мо-Жорик цукров. печиво 4,0кг/Жор. Обж.(14);кг;4;36.89;147.56;60.00;15.00
Молочне цукров. печиво 4,0кг/Жор. Обж.(13);кг;4;35.40;141.59;16.00;4.00
Мулатка затяж. з начин. печиво 1,1кг/ЖорОбж(169);кг;1.1;63.63;70.00;11.00;10.00
Мулатка затяж. з начин. печиво 2,8кг/ЖорОбж(168);кг;2.8;60.69;169.93;47.60;17.00
Парижанка з цукром печиво 2,7кг/Жор. Обж.(179);кг;2.7;42.49;114.72;32.40;12.00
Парижанка цукр.карам. з нач. печ.2,0кг/ЖорОбж(184);кг;2;51.17;102.34; ; 
ПИШКА затяж. печиво 3,0кг/Жорик Обжорик(84);кг;3;41.48;124.43;12.00;4.00
РІО МОЛОКО-КАКАО цукр.гл печ.2,0кг/ЖорОбж(64);кг;2;67.26;134.52;6.00;3.00
РІО МОЛОКО-КАКАОцукр.з нач.печ.1,5кг/Жорик Обжорик;кг;1.5;52.09;78.13; ; 
Сафарі цукров. печиво 4,0кг/Жор. Обж.(16);кг;4;35.27;141.10;24.00;6.00
Сімейне цукрове печиво 3,5кг/ЖорОбж(29);кг;3.5;38.31;134.10;35.00;10.00
Смаковниця цукрове печиво 2,8кг/ЖорОбж(33);кг;2.8;39.41;110.35;33.60;12.00
Соловушка цукрове печиво 4,0кг/ЖорОбж(76);кг;4;34.41;137.64;52.00;13.00
Солодка абетка цукр печиво2,5кг/ЖорОбж;кг;2.5;42.72;106.81;27.50;11.00
Солодка абетка цукр. з какао печ.2,5кг/ЖорОбж;кг;2.5;46.00;114.99;12.50;5.00
Солодка абетка цукр. печ.1,0кг/ЖорОбж;кг;1;47.52;47.52;9.00;9.00
Солодка абетка цукр. печ.2,4кг/ЖорОбж;кг;2.4;42.94;103.06; ; 
Тілі - Мілі цукр. глаз. печиво.1,6кг/ЖорОбж(79);кг;1.6;60.29;96.47; ; 
Тілі - Мілі цукрове печиво.3,0кг/ЖорОбж(34);кг;3;41.34;124.02;24.00;8.00
Трембіта цукр. з нач. глаз.печив 1,6кг/ЖорОбж(133);кг;1.6;70.55;112.88; ; 
Трубоч. вафел. Горішок 2,3кг/ЖорОбж(86);кг;2.3;62.30;143.30; ; 
Трубоч. вафел. З аромат карамелі 2,3кг/ЖорОбж(186);кг;2.3;56.76;130.55;6.90;3.00
Трубоч. вафел. Королівські 2,5кг/ЖорОбж(47);кг;2.5;59.96;149.91; ; 
Українське пісне цукр. печиво 3,5кг/ЖорОбж(40);кг;3.5;35.37;123.79;45.50;13.00
Фруктов.вальс абрик. цукр. печ.3,5кг/ЖорОбж(60);кг;3.5;49.30;172.54; ; 
Фруктов.вальс вишня цукр гл печ2,4кг/ЖорОбж(63);кг;2.4;67.12;161.10; ; 
Хуторянка цукрове печиво 4,0кг/ЖорОбж(77);кг;4;33.66;134.63;88.00;22.00
Чайне з аром.лимон. цукр. печ 4,0кг/ЖорОбж(22л);кг;4;36.26;145.04;20.00;5.00
Чайне з аром.пряж. мол.печ 1,8кг/ЖорОбж;кг;1.8;39.19;70.54;19.80;11.00
Чайне з аром.пряж. мол.печ 4,0кг/ЖорОбж;кг;4;36.26;145.04;64.00;16.00
Черепашка Тортіла цукр. печиво 3,0кг/ЖорОбж(41);кг;3;38.79;116.38;123.00;41.00
яФасовка;;;;;;
Рідний край цукр печ.130г*32шт/Жор.Обж(138);шт;1;6.57;6.57;45.00;45.00
Жорик Обжорик Акция;;;;;;
Зай-і-Чик цукров. печиво 4,0кг/Жор. Обж.(10);кг;4;32.21;128.84;64.00;16.00
Каприз цукров. печиво 1,6кг/Жор. Обж.(152);кг;1.6;61.69;98.71;8.00;5.00
