Прайс на дату: 17.02.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Ромашка 2-ох кол. 40г (40шт/1уп) /ТМ R&V;блок;1;199.16;199.16;3.00;3.00
Фіксики 40г (40шт/1уп) /ТМ R&V;блок;1;182.52;182.52;15.00;15.00
Фараон;;;;;;
Бургер Сюрп.(шок, печ,+іграш) 15гр*4бл*60шт Фараон;блок;1;495.88;495.88;1.00;1.00
Драже JOJO Любов це СМС  3гр*36бл*60штФараон;блок;1;41.06;41.06;11.00;11.00
Драже JOJO Помадка Мікс 12гр*24бл*24штФараон;блок;1;101.43;101.43;8.00;8.00
Драже JOJO СARNIVAL POPCORN 10гр*12бл*50штФараон;блок;1;170.94;170.94;1.00;1.00
Драже Арас Тубус Фіксики 12гр*12бл*24штФараон;блок;1;87.64;87.64; ; 
Драже Арас Фелікс БОН 12гр*12бл*24штФараон;блок;1;79.45;79.45;1.00;1.00
Драже Веселка Саадет тубус 12гр*12бл*24штФараон;блок;1;75.94;75.94;3.00;3.00
Драже Лав Бон Серце Арас 10гр*12бан*48штФараон;блок;1;123.84;123.84;4.00;4.00
Драже Міньйони Арас12гр*6бл*50штФараон;блок;1;176.29;176.29;5.00;5.00
Драже Олівець з драж Міні Арас15гр*12бл*24штФараон;блок;1;121.93;121.93;1.00;1.00
Драже Олівець Машинки Арас15гр*12бл*24штФараон;блок;1;117.58;117.58;5.00;5.00
Драже Саад.тубус Містер і Місс12гр*12бл*24штФараон;блок;1;75.67;75.67;1.00;1.00
Драже Хіп Хоп Арас 12гр*12бл*24штФараон;блок;1;82.08;82.08;4.00;4.00
Драже Це Це Бон у блистері 22гр*12бл*24штФараон;блок;1;123.84;123.84;6.00;6.00
Желе прикол(шприц айб.з желе) 7гр*24бл*30штФараон;блок;1;111.76;111.76;21.00;21.00
Жув цук Лімбо Асорті м'яка 20гр*8 бан*40штФараон;блок;1;142.38;142.38;1.00;1.00
Жув цук Шокер Супер кислий 10г*60шт*18бл Фараон;блок;1;127.00;127.00;18.00;18.00
Жувал. цук. Фрутишка Саадет25гр*12бл.*24шт. Фараон;блок;1;83.83;83.83;2.00;2.00
Жуйка Love is Полуниця-Банан Кент 4,2гр*20бл*100шт;блок;1;128.02;128.02;8.00;8.00
Жуйка- Краска Бай Балон Полуниця 6гр*24бл*40шт;блок;1;60.02;60.02;6.00;6.00
Жуйка Крезі з великою ТАТУ  2,5гр*24бл*100штФараон;блок;1;57.56;57.56;16.00;16.00
Жуйка ЛюбовЦе Кокос-Ананас4,2гр*20бл*100штФараон;блок;1;60.88;60.88;4.00;4.00
Жуйка Монстер Шок Кавун 3,5гр*20бл*100шт;блок;1;70.59;70.59;4.00;4.00
Жуйка Монстер Шок Ожина 3,5гр*20бл*100шт;блок;1;70.59;70.59;2.00;2.00
Жуйка Монстер Шок Полуниця 3,5гр*20бл*100шт;блок;1;70.59;70.59;8.00;8.00
Жуйка Назар Асорті 5гр*20бл*100шт Фараон;блок;1;92.38;92.38;3.00;3.00
Жуйка О Фреш Банка Асорті 5гр*8бан*200шт Фараон;блок;1;217.35;217.35;3.00;3.00
Жуйка О Фреш Дисплей  Асорті 5гр*40бл*50шт Фараон;блок;1;51.08;51.08;25.00;25.00
Жуйка Олівець Райдуга 15гр*12бл*24шт Фараон;блок;1;109.68;109.68;2.00;2.00
Жуйка Шок Шок Вишня 4гр*20бл*100шт Фараон;блок;1;74.43;74.43;15.00;15.00
Жуйка Шок Шок Полуниця 4гр*20бл*100шт Фараон;блок;1;74.43;74.43;14.00;14.00
Жуйка-пласт. Повергум Кавун 3гр*6бан*300штФараон;блок;1;212.29;212.29;3.00;3.00
Жуйка-пласт. Повергум Мята  3гр*6бан*300штФараон;блок;1;212.29;212.29;2.00;2.00
Зефір-Сердце Love is Зеф. люб 10г*20бл*30шт Фараон;блок;1;134.89;134.89;6.00;6.00
Кисла п'ятка JОJО льод. палк. 9гр*12бл*24штФараон;блок;1;87.83;87.83;3.00;3.00
Кислиця Асорті Саадет 3,5гр*20бл*100штФараон;блок;1;72.13;72.13;10.00;10.00
Кислиця Полуниця Саадет 3,5гр*20бл*100штФараон;блок;1;72.90;72.90;8.00;8.00
Мармеладна Пал. Асор БЕЗ ЦУКР10гр*8бл*150шт Фараон;блок;1;189.47;189.47; ; 
Модная Корона LOL + фрук.драж. 2г*12бл.*24шт/Фарао;блок;1;294.90;294.90;6.00;6.00
Модное Ожерелье LOL+фрук.драж. 2г*12бл.*36шт/Фарао;блок;1;281.75;281.75;2.00;2.00
Піца Сюрп.(шок, печ,+іграш) 15гр*12бл*24шт Фараон;блок;1;191.59;191.59;12.00;12.00
Плас.М`яч Крейзі BOLL з сюрп,цук 90г*6бл*6штФараон;блок;1;289.58;289.58;1.00;1.00
Ц-ка на пал.Парті Тайм Ананас 16гр*6бл*100штФарао;блок;1;206.21;206.21;3.00;3.00
Ц-ка на пал.ПартіТайм Полуниця 16гр*6бл*100штФарао;блок;1;206.21;206.21;1.00;1.00
Ц-ка на пал.Супер Гум Асорті 16гр*6бл*100штФарао;блок;1;204.49;204.49;8.00;8.00
Цукерка на палочці ФІТО (банка)10гр*6бл*120штФарао;блок;1;156.98;156.98;4.00;4.00
Червяки Саадет Джелоппі 12бан*600гр Фараон;блок;1;98.37;98.37;5.00;5.00
Шоколадне Яйце М і В 60гр*6бл*12штФараон;блок;1;196.74;196.74;3.00;3.00
Шоколадне Яйце Фіксики 60гр*6бл*12штФараон;блок;1;204.31;204.31;2.00;2.00
Шпигунська светящ.руч+фр.драж.2г*12бл.*24шт/Фарао;блок;1;225.40;225.40;10.00;10.00
Яйце cюрприз Асорті ANL25гр*6бл*24шт Фараон;блок;1;127.73;127.73;4.00;4.00
Яйце MINI Egg  30гр*14бл*12шт Фараон;блок;1;204.71;204.71;4.00;4.00
Яйце проз.плас арас Метелики 10г*6бл*12шт Фараон;блок;1;228.62;228.62;3.00;3.00
Яйце проз.плас арас Міні Мікс 10г*6бл*12шт Фараон;блок;1;235.41;235.41;1.00;1.00
Яйце проз.плас арас Модн. Малюк10г*6бл*12шт Фараон;блок;1;228.62;228.62;4.00;4.00
ШОКОЛАДНО;;;;;;
Angello ц-ки з ціл.мигд. ф/п 1,7кг Шоколадно 6 мес;кг;1.7;143.00;243.10;30.60;18.00
Cream Манго цукерки вагові 1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;13.50;9.00
Cream Полуниці цукерки вагові1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;3.00;2.00
Cream Тоффі цукерки вагові1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;1.50;1.00
Cream Шампанськ цукерк.вагові1,5кг Шоколадно 6 мес;кг;1.5;102.31;153.47;16.50;11.00
Crocant цукерки вагові 1,7кг Шоколадно 6 мес;кг;1.7;91.26;155.14;37.40;22.00
Don noir цукерки ваг. 1,7кг Шоколадно 6 мес;кг;1.7;143.00;243.10;8.50;5.00
Natella Golden nuts ц-ки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;98.22;166.98;11.90;7.00
Natella цукерки ф/п 1,7кг Шоколадно 6 мес;кг;1.7;107.18;182.21; ; 
Praline Coffee Cream ц-ки ф/п 1.5 кг Шоколадно;кг;1.5;102.31;153.47; ; 
Provance цукерки ф/п 1.7 кг Шоколадно;кг;1.7;107.18;182.21; ; 
